,Film,Race,variable,value
0,The Fellowship Of The Ring,Elf,Male,971
1,The Fellowship Of The Ring,Hobbit,Male,3644
2,The Fellowship Of The Ring,Man,Male,1995
3,The Two Towers,Elf,Male,513
4,The Two Towers,Hobbit,Male,2463
5,The Two Towers,Man,Male,3589
6,The Return Of The King,Elf,Male,510
7,The Return Of The King,Hobbit,Male,2673
8,The Return Of The King,Man,Male,2459
9,The Fellowship Of The Ring,Elf,Female,1229
10,The Fellowship Of The Ring,Hobbit,Female,14
11,The Fellowship Of The Ring,Man,Female,0
12,The Two Towers,Elf,Female,331
13,The Two Towers,Hobbit,Female,0
14,The Two Towers,Man,Female,401
15,The Return Of The King,Elf,Female,183
16,The Return Of The King,Hobbit,Female,2
17,The Return Of The King,Man,Female,268
